"Reference","Value","Footprint","Datasheet","Cost","Price","Source","Vendor","Qty"
"BT1-BT3","18650","User_Battery:Battery_18650","~","","","","","3"
"C1, C6, C8, C10-C15, C27-C30","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","-- mixed values --","-- mixed values --","","13"
"C2, C3, C5, C23","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","4"
"C4","3.3u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","1"
"C7","2200p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","1"
"C9","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","1"
"C16","0.047u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","1"
"C17-C22","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","","0.09","","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL31B106KAHNFNE?qs=xZ%2FP%252Ba9zWqbvZ%2FuLWvQDdQ%3D%3D","6"
"C24","0.33u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","0.065","","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B105KOFNFNE?qs=sGAEpiMZZMsh%252B1woXyUXj5ND545PPyUhMzGq7HWiq0o%3D","1"
"C25","100p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","1"
"C26","0.01u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","1"
